95/01	Butyrate response factor 2 (5' primers) 	Brf2	M58564	Brf2 	butyrate response factor 2	
95/02	Butyrate response factor 1 (5' primers) 	Brf1	M58566	Brf1 	butyrate response factor 1	
95/03	Somatostatin receptor type 4 (5' primers) 	Smstr4	U26176	Smstr4 	somatostatin receptor 4	
95/04	Glucagon receptor (5' primers) 	Gcgr	L38613	Gcgr 	glucagon receptor	
95/05	Somatostatin receptor isoform 1 (5' primers) 	Smstr1	M81831	Smstr1 	somatostatin receptor 1	
95/06	Somatostatin receptor isoform 2 (5' primers) 	Smstr2	M81832	Smstr2 	somatostatin receptor 2	
95/07	Somatostatin receptor (SSTR3) (5' primers) 	Smstr3	M91000	Smstr3 	somatostatin receptor 3	
95/08	Zinc finger protein-36 (5' primers) 	Zfp36	X14678	Zfp36 	zinc finger protein 36	
95/09	Hepatocyte growth factor 	Hgf	D10213	Hgf 	hepatocyte growth factor	
95/10	Meiosis-specific nuclear structural protein 1 	Mns1	D14849	Mns1 	meiosis-specific nuclear structural protein 1	
95/11	TGF-beta type I receptor 	Tgfbr1	D25540	Tgfbr1 	"transforming growth factor, beta receptor I"	
95/12	Glial cell line derived neurotrophic factor 	Gdnf	D49921	Gdnf 	glial cell line derived neurotrophic factor	
95/13	Pleiotrophin 	Ptn	D90225	Ptn 	pleiotrophin	
95/14	Homeobox B6 	Hoxb6	J03782	Hoxb6 	homeo box B6	
96/526	"Phospholipase A2, group IB, pancreas  "	Pla2g1b	U32358	Pla2g2a 	"phospholipase A2, group IIA (platelets, synovial fluid)"	
96/527	Inducible nitric oxide synthase 	null	U43428	Nos2 	"nitric oxide synthase 2, inducible, macrophage"	
96/528	ma34g12.r1 Life Tech mouse brain Mus musculus cDNA clone 312646 5' similar to gb:S46950 Adenosine A2A Receptor (HUMAN);	null	W59687	ESTM21	expressed sequence tag mouse EST 21	
96/529	ma26g07.r1 Life Tech mouse brain Mus musculus cDNA clone 311868 5' similar to gb:L22214 Adenosine A1 receptor (HUMAN);	null	W61814	ESTM22	expressed sequence tag mouse EST 22	
96/530	Acetylcholinesterase 	Ache	X56518	Ache 	acetylcholinesterase	
96/531	"Glutamate receptor, ionotropic, AMPA1 (alpha 1)  "	Gria1	X57497	Gria1 	"glutamate receptor, ionotropic, AMPA1 (alpha 1)"	
96/532	G-protein beta-subunit 	null	X62634	Gnb1 	"guanine nucleotide binding protein, beta 1"	
96/533	Phospholipase C beta 1 	null	X95344	Plcb 	"phospholipase C, beta"	
96/534	"Phospholipase C, gamma 1  "	Plcg1	X95346	Plcg1 	"phospholipase C, gamma 1"	
96/535	H.sapiens (D6S1717) DNA segment containing (CA) repeat; clone AFM119yb6.	null	Z50990	Sequence not in MGD		Human sequence.  On CD - No Data.  On Word document - EP Fail
97/550	"Glutamate receptor, ionotropic, NMDA2A (epsilon 1)"	Grin2a	D10217	Grin2a 	"glutamate receptor, ionotropic, NMDA2A (epsilon 1)"	
97/551	"Glutamate receptor, ionotropic, NMDA2B (epsilon 2)"	Grin2b	D10651	Grin2b 	"glutamate receptor, ionotropic, NMDA2B (epsilon 2)"	
97/552	" Protein kinase C, theta"	Pkcq	D11091	Pkcq 	"protein kinase C, theta"	
97/553	"Glutamate receptor, ionotropic, NMDA2D (epsilon 4)"	Grin2d	D12822	Grin2d 	"glutamate receptor, ionotropic, NMDA2D (epsilon 4)"	
97/554	Tachykinin 2	Tac2	D14423	Tac2 	tachykinin 2	
97/555	"Nitric oxide synthase 1, neuronal"	Nos1	D14552	Nos1 	"nitric oxide synthase 1, neuronal"	
97/556	Protein kinase C lambda	null	D28577	Pkcl	"protein kinase C, lamda"	
97/557	"Solute carrier family 1, member 1"	Slc1a1	D43797	Slc1a1 	"solute carrier family 1, member 1"	
97/558	"Potassium inwardly rectifying channel, subfamily J, member 3"	Kcnj3	D45022	Kcnj3 	"potassium inwardly rectifying channel, subfamily J, member 3"	
97/559	"Protein kinase C, eta"	Pkch	D90242	Pkch	"protein kinase C, eta"	
97/560	"Protein kinase, cAMP dependent, catalytic, beta"	Pkacb	J02626	Pkacb	"protein kinase, cAMP dependent, catalytic, beta"	
97/561	"Protein kinase, cAMP dependent regulatory, type II alpha"	Prkar2a	J02935	Prkar2a 	"protein kinase, cAMP dependent regulatory, type II alpha"
97/562	Homeo box D4	Hoxd4	J03770	Hoxd4 	homeo box D4
97/563	"Protein kinase inhibitor beta, cAMP dependent, testis specific"	Pkib	L02241	Pkib 	"protein kinase inhibitor beta, cAMP dependent, testis specific"
97/564	Macrophage scavenger receptor type I 	null	L04274	Scvr	scavenger receptor
97/565	Macrophage scavenger receptor type II 	null	L04275	Scvr	scavenger receptor
97/566	Gamma-aminobutyric acid (GABA-A) transporter 4	Gabt4	L04662	Gabt4 	gamma-aminobutyric acid (GABA-A) transporter 4
97/567	Gamma-aminobutyric acid (GABA-A) transporter 3	Gabt3	L04663	Gabt3 	gamma-aminobutyric acid (GABA-A) transporter 3
97/568	Coagulation factor VIII	Cf8	L05573	Cf8 	coagulation factor VIII
97/569	FMS-like tyrosine kinase 1	Flt1	L07297	Flt1 	FMS-like tyrosine kinase 1
97/570	Smk/Plk-akin kinase	Sak	L29480	Sak 	Smk/Plk-akin kinase
97/571	Receptor for advanced glycosylation end products (RAGE) gene	null	L33412	Ager 	advanced glycosylation end product-specific receptor
97/572	HMG-box transcription factor (sox18)	null	L35032	Sox18 	SRY-box containing gene 18
97/573	Alzheimer disease 3 homologue	Ad3h	L42177	Ad3h 	alzheimer disease 3 homologue
97/574	"Protein kinase, cAMP dependent, catalytic, alpha"	Pkaca	M12303	Pkaca 	"protein kinase, cAMP dependent, catalytic, alpha"
97/575	Homeo box A7	Hoxa7	M17192	Hoxa7	homeo box A7
97/576	"Protein kinase, cAMP dependant regulatory, type I beta"	Prkar1b	M20473	Prkar1b 	"protein kinase, cAMP dependent regulatory, type I beta"
97/577	Wingless-related MMTV integration site-3	Wnt3	M32502	Wnt3 	wingless-related MMTV integration site 3
97/578	"Protein kinase inhibitor, alpha"	Pkia	M63554	Pkia 	"protein kinase inhibitor, alpha"
97/579	Calmodulin kinase IV	Camk4	M64266	Camk4 	calmodulin kinase IV
97/580	"Protein kinase C, delta"	Pkcd	M69042	Pkcd 	"protein kinase C, delta"
97/581	"Nitric oxide synthase 2, inducible, macrophage"	Nos2	M87039	Nos2 	"nitric oxide synthase 2, inducible, macrophage"
97/582	Wingless-related MMTV integration site 5A	Wnt5a	M89798	Wnt5a 	wingless-related MMTV integration site 5A
97/583	Wingless-related MMTV integration site 5B	Wnt5b	M89799	Wnt5b 	wingless-related MMTV integration site 5B
97/584	Wnt-6	null	M89800	Wnt6 	wingless-related MMTV integration site 6
97/585	Wingless-related MMTV integration site 7a	Wnt7a	M89801	Wnt7a 	wingless-related MMTV integration site 7A
97/586	Gamma-aminobutyric acid (GABA-A) transporter 1	Gabt1	M92378	Gabt1 	gamma-aminobutyric acid (GABA-A) transporter 1
97/587	"Protein kinase C, zeta"	Pkcz	M94632	Pkcz 	"protein kinase C, zeta"
97/588	Gamma-aminobutyric acid(GABA-A) transporter 2	Gabt2	M97632	Gabt2 	gamma-aminobutyric acid (GABA-A) transporter 2
97/589	5-hydroxytryptamine (serotonin) receptor 2A	Htr2a	S49542	Htr2a 	5-hydroxytryptamine (serotonin) receptor 2 A
97/590	Fetal liver kinase 1	Flk1	S53103	Flk1 	fetal liver kinase 1
97/591	Homeo box B9	Hoxb9	S66855	Hoxb9	homeo box B9
97/592	Opioid receptor-like	Oprl	U04952	Oprl	opioid receptor-like
97/593	"Solute carrier family 1, member 2"	Slc1a2	U11763	Slc1a2 	"solute carrier family 1, member 2"
97/594	Wnt-10b	null	U20658	Wnt10b 	Wingless related MMTV integration site 10b
97/595	SRY-box containing gene 2	Sox2	U31967	Sox2 	SRY-box containing gene 2
97/596	SRY-box containing gene 6	Sox6	U32614	Sox6 	SRY-box containing gene 6
97/597	Homeo box A3	Hoxa3	U56399	Hoxa3 	homeo box A3
97/598	Homeo box D3	Hoxd3	U56400	Hoxd3 	homeo box D3
97/599	Homeo box A13	Hoxa13	U59322	Hoxa13	homeo box A13
97/600	Homeo box C9	Hoxc9	X07647	Hoxc9 	homeo box C9
97/601	"Calmodulin kinase II, alpha subunit"	Camk2a	X14836	Camk2a 	"calmodulin kinase II, alpha subunit"
97/602	Somatostatin	Smst	X51468	Smst 	somatostatin
97/603	"Enolase 2, gamma neuronal"	Eno2	X52380	Eno2 	"enolase 2, gamma neuronal"
97/604	"Protein kinase C, alpha"	Pkca	X52685	Pkca 	"protein kinase C, alpha"
97/605	Hox-2.9 gene for homeodomain protein	null	X53063	Hoxb1	homeo box B1
97/606	Protein kinase C beta-II	null	X53532	Pkcb	"protein kinase C, beta"
97/607	Parvalbumin	Pva	X54613	Pva	parvalbumin
97/608	Wingless-related MMTV integration site	Wnt3a	X56842	Wnt3a 	wingless-related MMTV integration site 3A
97/609	"Protein kinase, mitogen activated kinase 1"	Prkm1	X58712	Prkm1 	"protein kinase, mitogen activated kinase 1"
97/610	Hox-4.9	null	X60034	Hoxd1 	homeo box D1
97/611	Tachykinin 1 receptor	Tac1r	X62934	Tac1r 	tachykinin 1 receptor
97/612	"Calmodulin kinase II, beta subunit"	Camk2b	X63615	Camk2b 	"calmodulin kinase II, beta subunit"
97/613	SRY-box containing gene 5	Sox5	X65657	Sox5 	SRY-box containing gene 5
97/614	SRY-box containing gene 7	Sox7	X65660	Sox7 	SRY-box containing gene 7
97/615	Thyoma viral proto-oncogene	Akt	X65687	Akt 	thymoma viral proto-oncogene
97/616	Glycine transporter 1	Glyt1	X67056	Glyt1 	glycine transporter 1
97/617	Peptidylprolyl isomerase C-associated protein	Ppicap	X67809	Ppicap 	peptidylprolyl isomerase C-associated protein
97/618	SRY-box containing gene 4	Sox4	X70298	Sox4 	SRY-box containing gene 4
97/619	Wingless-related MMTV integration site 11	Wnt11	X70800	Wnt11 	wingless-related MMTV integration site 11
97/620	Sox-15	null	X70909	Sox15 	SRY-box containing gene 15
97/621	Calbindin 2	Calb2	X73985	Calb2 	calbindin 2
97/622	GLUT2 gene for glucose transporter	null	X78722	Slc2a2 	"solute carrier family 2 (facilitated glucose transporter), member 2"
97/623	"LIM-domain containing, protein kinase"	Limk1	X86569	Limk1 	"LIM-domain containing, protein kinase"
97/624	SOX3 	null	X94125	Sox3 	SRY-box containing gene 3
97/625	SRY-box containing gene 1	Sox1	X94126	Sox1 	SRY-box containing gene 1	
97/626	SOX19	null	X98368	Sox19	SRY-box containing gene 19	
97/627	SRY-box containing gene 15	Sox15	X98369	Sox15	SRY-box containing gene 15	Unpublished sequence - Blasts to Sox15
97/628	Homeo box A5	Hoxa5	Y00208	Hoxa5	homeo box A5	
97/629	SRY-box containing gene 8	Sox8	Z18957	Sox8 	SRY-box containing gene 8	
97/630	SRY-box containing gene 9	Sox9	Z18958	Sox9 	SRY-box containing gene 9	
97/631	Sox 10 (partial)	null	Z18959	Sox10 	SRY-box containing gene 10	
97/632	SRY-box containing gene 11	Sox11	Z18960	Sox11 	SRY-box containing gene 11	
97/633	Sox 12 (partial)	null	Z18961	Sox12 	SRY-box containing gene 12	
97/634	Sox 13 (partial)	null	Z18962	Sox13 	SRY-box containing gene 13	
97/635	SRY-box containing gene 14	Sox14	Z18963	Sox14 	SRY-box containing gene 14	
97/636	"Protein kinase C, mu"	Pkcm	Z34524	Pkcm 	"protein kinase C, mu"	
97/637	Glutamic acid decarboxylase 1	Gad1	Z49976	Gad1 	glutamic acid decarboxylase 1	
97/638	wnt-8D	null	Z68889	Stra11 	stimulated by retinoic acid gene 11	
97/639	Homeo box D9	Hoxd9	X62669	Hoxd10	homeo box D10	
97/640	Homeo box D9	Hoxd9	X62669	Hoxd9	homeo box D9	
97/641	Homeo box C4	Hoxc4	X63507	Hoxc10 	homeo box C10	
97/642	Hox-1.4 gene	null	X66861	Hoxa4 	homeo box A4	
97/643	"Glutamate receptor, ionotropic, NMDA1 (zeta 1)"	Grin1	D10028	Grin1 	"glutamate receptor, ionotropic, NMDA1 (zeta 1)"	
97/644	"Glutamate receptor, ionotropic, NMDA2D (epsilon 4)"	Grin2d	D12822	Grin2d 	"glutamate receptor, ionotropic, NMDA2D (epsilon 4)"	
97/645	Male enhanced antigen 1	Mea1	D17341	Mea1 	male enhanced antigen 1	
97/646	Prostaglandin E receptor EP3 subtype (EP3-gamma isoform)	Ptgerep3	D17406	Ptgerep3 	prostaglandin E receptor EP3 subtype	
97/647	Tachykinin 1	Tac1	D17584	Tac1 	tachykinin 1	
97/648	Prostaglandin D receptor	Ptgdr	D29764	Ptgdr 	prostaglandin D receptor	
97/649	Dexamethasone induced product	null	D44443	Sequence not in MGD		Vector sequence.  On Word document - EP Fail
97/650	Prostaglandin E receptor EP2 subtype	Ptgerep2	D50589	Ptgerep2 	prostaglandin E receptor EP2 subtype	
97/651	Zinc finger protein of the cerebellum 3	Zic3	D70849	Zic3 	zinc finger protein of the cerebellum 3	
97/652	Seizure related gene 12	Sez12	D78641	Sez12 	seizure related gene 12	
97/653	5' Nucleotidase	Nt5	L12059	Nt5 	5' nucleotidase	
97/654	"Protein kinase C, gamma"	Pkcc	L28035	Pkcc	"protein kinase C, gamma"	
97/655	LIM homeo box protein 3	Lhx3	L38248	Lhx3 	LIM homeo box protein 3	
97/656	Max dimerization protein	Mad	L38926	Mad 	Max dimerization protein	
97/657	Glucokinase activity	Gk	L38990	Gk 	glucokinase activity
97/658	Paraoxonase 3	Pon3	L76193	Pon3 	paraoxonase 3
97/659	"Glutamate receptor, metabotropic 8"	Grm8	U17252	Grm8 	"glutamate receptor, metabotropic 8"
97/660	"Opioid receptor, mu"	Oprm	U19380	Oprm 	"opioid receptor, mu"
97/661	Cannabinoid receptor 2 (macrophage)	Cnr2	U21681	Cnr2	cannabinoid receptor 2 (macrophage)
97/662	"Protein kinase, mitogen activated, kinase 6"	Prkmk6	U39066	Prkmk6 	"protein kinase, mitogen activated, kinase 6"
97/663	Fas-associated factor 1	Faf1	U39643	Faf1 	Fas-associated factor 1
97/664	Single-minded 2	Sim2	U40576	Sim2 	single-minded 2
97/665	Inhibitor of DNA binding 1	Idb1	U43884	Idb1 	inhibitor of DNA binding 1
97/666	Aquaporin 4	Aqp4	U48397	Aqp4 	aquaporin 4
97/667	"Iodothyronine 5' deiodinase, type 1"	Dio1	U49861	Dio1 	"iodothyronine 5' deiodinase, type I"
97/668	Poly (A) polymerase	Plap	U52197	Plap 	poly (A) polymerase
97/669	Oxidative stress induced	Osi	U57413	Osi	oxidative stress induced
97/670	ma34g12.r1 Life Tech mouse brain Mus musculus cDNA clone 312646 5' similar to gb:S46950 ADENOSINE A2A RECEPTOR (HUMAN);.	null	W59687	ESTM21	expressed sequence tag mouse EST 21
97/671	Dopamine receptor 2	Drd2	X55674	Drd2 	dopamine receptor 2
97/672	5-Hydroxytryptamine (serotonin) receptor 1c	Htr1c	X72230	Htr1c 	5-hydroxytryptamine (serotonin) receptor 1C
97/673	"Potassium inwardly rectifying channel, subfamily J, member 2"	Kcnj2	X73052	Kcnj2 	"potassium inwardly rectifying channel, subfamily J, member 2"
97/674	5-Hydroxytryptamine (serotonin) receptor 1D	Htr1d	X94908	Htr1d 	5-hydroxytryptamine (serotonin) receptor 1D
97/675	5-Hydroxytryptamine (serotonin) receptor 1E beta	Htr1eb	Z14224	Htr1eb 	5-hydroxytryptamine (serotonin) receptor 1E beta
97/676	5-Hydroxytryptamine (serotonin) receptor 7	Htr7	Z23107	Htr7 	5-hydroxytryptamine (serotonin) receptor 7
97/677	Potassium channel subunit (m-eag)	null	U04294	Lqt2 	long (electocardiographic) QT syndrome 2
97/678	"Nitric oxide synthase 1, neuronal"	Nos1	D14552	Nos1 	"nitric oxide synthase 1, neuronal"
97/679	"Heat shock protein cognate 70, testis"	Hsc70t	L27086	Hsc70t	"heat shock protein cognate 70, testis"
97/680	"Neurofilament, light polypeptide"	Nfl	M20480	Nfl 	"neurofilament, light polypeptide"
97/681	"Tubulin, beta 4"	Tubb4	M28730	Tubb4 	"tubulin, beta 4"
97/682	"Tubulin, beta 5"	Tubb5	M28732	Tubb5 	"tubulin, beta 5"
97/683	"Tubulin, beta 2"	Tubb2	M28739	Tubb2 	"tubulin, beta 2"
97/684	"Neurofilament, heavy polypeptide"	Nfh	M35131	Nfh	"neurofilament, heavy polypeptide"
97/685	Tachykinin-A (gamma-PPT-A)	null	M68909	Tac1	tachykinin 1
97/686	Heat shock protein 25 kDa	Hsp25	U03560	Hsp25 	heat shock protein 25 kDa
97/687	Glial cell line derived neurotrophic factor	Gdnf	U36449	Gdnf 	glial cell line derived neurotrophic factor
97/688	"Nitric oxide synthase 2, inducible, macrophage"	Nos2	U43428	Nos2 	"nitric oxide synthase 2, inducible, macrophage"
97/689	"Nitric oxide synthase 3, endothelial cell"	Nos3	U53142	Nos3 	"nitric oxide synthase 3, endothelial cell"	
97/690	"Tubulin, beta 5"	Tubb5	X04663	Tubb5 	"tubulin, beta 5"	
97/691	"Neurofilament, medium polypeptide"	Nfm	X05640	Nfm 	"neurofilament, medium polypeptide"	
97/692	Somatostatin	Smst	X51468	Smst 	somatostatin	
97/693	"Enolase 2, gamma neuronal"	Eno2	X52380	Eno2 	"enolase 2, gamma neuronal"	
97/694	Tachykinin 1 receptor	Tac1r	X62934	Tac1r 	tachykinin 1 receptor	
97/695	"Enolase 3, beta muscle"	Eno3	X70182	Eno3	"enolase 3, beta muscle"	
97/696	Neuromedin K receptor (NK3 ??)	null	X87823	Tac3r	tachykinin 3 receptor	Unpublished sequence - blasts to Tac3r
97/697	Galanin	Galn	Z23069	Galn 	galanin	
97/698	Ddp homolog.(Ddp-D)	null	AA030583	Sequence not in MGD		Will not be on the CD
97/699	Ddp homolog (Ddp-N)	null	AA030799	Sequence not in MGD		Will not be on the CD
97/700	Ddp homolog (Ddp-J)	null	AA105917	Sequence not in MGD		Will not be on the CD
97/701	mc26d12.r1 Soares mouse p3NMF19.5 Mus musculus cDNA clone 349655 5'	null	W30206	Sequence not in MGD		Will not be on the CD
97/702	Ddp homolog (Ddp-S)	null	W64899	Sequence not in MGD		Will not be on the CD
97/703	me85d11.r1 Soares mouse embryo NbME13.5 14.5 Mus musculus cDNA clone 402357 5'.	null	W78363	Sequence not in MGD		Will not be on the CD
97/704	Brca2	Brca2	U82270	Brca2	breast cancer 2	
97/705	"RAD52 homolog, (S. Cerevisiae)"	Rad52	U06837	Rad52 	"RAD52 homolog, (S. cerevisiae)"
97/706	"RAD52 homolog, (S. Cerevisiae)"	Rad52	U06837	Rad52 	"RAD52 homolog, (S. cerevisiae)"
97/707	"RAD52 homolog, (S. Cerevisiae)"	Rad52	U06837	Rad52 	"RAD52 homolog, (S. cerevisiae)"
97/708	Amyloid beta (A4) precursor protein	App	M18373	App	amyloid beta (A4) precursor protein
97/709	Apolipoprotein E 	Apoe	M73490	Apoe	apolipoprotein E
97/710	"Notch gene homolog 2, (Drosophila)"	Notch2	X68279	Notch2 	"Notch gene homolog 2, (Drosophila)"
97/711	"Notch gene homolog 3, (Drosophila)"	Notch3	X74760	Notch3 	"Notch gene homolog 3, (Drosophila)"
97/712	"Notch gene homolog 1, (Drosophila)"	Notch1	Z11886	Notch1 	"Notch gene homolog 1, (Drosophila)"
97/714	vh24h06.r1 Soares mouse mammary gland NbMMG Mus musculus cDNA clone 876443 5' similar to gb:J05633 INTEGRIN BETA-5 SUBUNIT PRECURSOR (HUMAN)	null	AA475909	ESTM23	expressed sequence tag mouse EST 23
97/715	vj28c04.r1 Stratagene mouse diaphragm (#937303) Mus musculus cDNA clone 930342 5' similar to TR:G1146129 G1146129 INTEGRIN-LINKED KINASE	null	AA511515	ESTM24	expressed sequence tag mouse EST 24
97/716	(clone 41510) BAD protein	null	L37296	Bad	Bcl-associated death promoter
97/717	Integrin alpha 3A 	null	S66292	Itga3	integrin alpha 3 (Cd49c)
97/718	Bcl2-associated athanogene 1	Bag1	U17162	Bag1 	Bcl2-associated athanogene 1
97/719	leptin	Lep	U18812	Lep 	leptin
97/720	MCL-1	null	U35623	Mcl1	myeloid cell leukemia sequence 1
97/721	Bcl2-like 2	Bcl2l2	U59746	Bcl2l2 	Bcl2-like 2
97/722	BH3 interacting domain death agonist	Bid	U75506	Bid 	BH3 interacting domain death agonist	
97/723	Defender against cell death 1	Dad1	U83628	Dad1	defender against cell death 1	Unpublished sequence - Blasts to Dad1
97/724	Integrin alpha 6	Itga6	X69902	Itga6 	integrin alpha 6	
97/725	BFL1	null	X73077	Igh-V7183	"immunoglobulin heavy chain, (V7183 family)"	
97/726	Integrin alpha 5 subunit	null	X79003	Itga5	integrin alpha 5 (fibronectin receptor alpha)	Unpublished sequence - blasts to Itga5
97/727	integrin beta 1 (fibronectin receptor beta)	Itgb1	Y00769	Itgb1 	integrin beta 1 (fibronectin receptor beta)	
97/728	Bak	null	Y13231	Bak	Bcl2 homologous antagonist/killer	
97/729	Integrin alpha 7	Itga7	L23423	Itga7 	integrin alpha 7	
97/730	integrin alpha 4 (Cd49d)	Itga4	X53176	Itga4	integrin alpha 4 (Cd49d)	
97/733	slowpoke homolog	Slo	U09383	Kcnma1	potassium large conductance calcium-activated channel, subfamily M, alpha member 1 
